AcceptedAnswerId,AnswerCount,CommentCount,CommunityOwnedDate,CreationDate,FavoriteCount,Id,LastActivityDate,LastEditDate,LastEditorDisplayName,LastEditorUserId,OwnerUserId,PostTypeId,Score,Tags,Title,ViewCount,,
No,8,0,2014-04-04T13:02:49.830,08/01/2008,1,145,2016-01-20T15:31:50.297,2014-09-13T13:14:05.237,kevin d,87,87,1,24,c#,Compressing / Decompressing Folders & Files,1991,,
Yes,7,0,,08/01/2008,6,146,2015-11-18T14:43:47.770,2013-10-04T01:17:13.687,,243557,30,1,35,php,How do I track file downloads,12702,,
No,6,0,,08/01/2008,6,174,2013-11-17T16:04:14.930,2012-01-06T21:25:44.727,Chris Marasti-Georg,707111,96,1,48,c#,How do I print an HTML document from a web service?,11217,,
Yes,4,0,,08/01/2008,0,192,2012-05-04T09:26:51.287,2012-05-04T09:26:51.287,Michael Stum,1039608,91,1,37,c#,Floating Point Number parsing: Is there a Catch All algorithm?,2127,,
Yes,10,0,,08/01/2008,9,227,2015-10-26T16:26:16.900,2012-06-28T08:11:23.453,Adam Bellaire,500729,146637,1,38,php,What's the best way to generate a tag cloud from an array using h1 through h6 for sizing?,3433,,
Yes,4,0,,08/01/2008,13,234,2014-11-25T20:58:58.163,2014-11-25T20:58:58.163,user1873471,2641576,91,1,46,mysql,SQL Server 2005 implementation of MySQL REPLACE INTO?,26302,,
Yes,9,3,,08/01/2008,15,260,2014-01-02T14:33:21.153,2010-11-26T15:10:35.897,eed3si9n,63550,91,1,47,c#,Adding scripting functionality to .NET applications,11117,,
Yes,3,1,,08/01/2008,2,263,2012-05-04T09:35:11.603,2012-05-04T09:35:11.603,Bernard,1039608,61,1,19,c++,GTK implementation of MessageBox,5991,,
No,5,0,,08/01/2008,1,264,2013-11-25T13:52:15.357,2013-05-30T02:11:52.237,Michał Piaskowski,2405641,104,1,16,c++,BerkeleyDB Concurrency,1801,,
Yes,19,0,,08/02/2008,122,289,2016-02-26T07:38:16.477,2015-03-13T10:50:20.450,kurious,3302711,109,1,503,c#,How do you sort a dictionary by value?,339028,,
Yes,13,0,,08/02/2008,174,328,2012-07-18T17:21:23.430,2012-05-04T09:39:26.510,,1039608,59,1,125,php,PHP Session Security,60669,,
Yes,10,0,,08/02/2008,0,330,2013-03-27T20:24:09.153,2012-09-03T08:53:51.277,Jason Etheridge,204623,63,1,26,c++,Should I use nested classes in this case?,3522,,
Yes,17,1,,08/02/2008,6,337,2014-10-08T05:58:37.820,2012-05-04T09:45:16.460,,1039608,111,1,47,python,XML Processing in Python,5773,,
Yes,1,1,,08/02/2008,6,382,2015-12-29T06:32:32.877,2015-12-29T06:32:00.833,,3787519,122,1,36,java,What is the meaning of the type safety warning in certain Java generics casts?,7420,,
Yes,4,0,,08/02/2008,0,469,2014-12-15T23:58:38.667,2014-12-15T23:58:38.667,Ash,683218,147,1,14,python,How can I find the full path to a font from its display name on a Mac?,1769,,
Yes,3,0,,08/02/2008,3,482,2014-07-28T10:04:53.613,2014-07-28T10:04:53.613,Darren Kopp,451518,77,1,29,c#,WinForms ComboBox data binding gotcha,17171,,
Yes,3,0,,08/02/2008,12,502,2016-02-29T04:49:18.300,2011-04-08T11:42:03.807,Adam Mitz,63550,147,1,21,python,Get a preview JPEG of a PDF on Windows?,9398,,
Yes,7,0,,08/02/2008,13,535,2014-01-08T06:50:21.857,2012-05-02T17:42:47.627,Robert Gamble,352841,154,1,35,python,Continuous Integration System for a Python Codebase,8210,,
No,1,1,,08/02/2008,1,562,2015-09-25T11:46:57.640,2008-11-08T15:45:43.340,Gulzar,4337,0,1,26,c#,How to write to Web.Config in Medium Trust?,2999,,
Yes,17,2,,08/02/2008,38,564,2016-02-28T18:42:46.323,2013-06-10T19:10:33.710,Chris Reath,63550,25,1,136,java,What is the difference between an int and an Integer in Java and C#?,125151,,
Yes,8,2,,08/03/2008,15,588,2015-12-14T20:04:17.647,2015-12-14T20:04:17.647,Gulzar,4595675,172,1,33,php,Best way to access Exchange using PHP?,41598,,
Yes,3,1,,08/03/2008,4,594,2012-07-02T15:23:39.457,2012-07-02T15:23:39.457,Mark Harrison,1399491,116,1,17,python,cx_Oracle - what is the best way to iterate over a result set?,18942,,
Yes,5,3,,08/03/2008,2,601,2015-12-17T11:17:22.100,2015-12-17T11:17:22.100,,5550041,0,1,22,c#,Robust Random Number Generation,970,,
No,5,1,,08/03/2008,1,609,2015-02-04T09:58:11.880,2012-05-01T17:33:22.013,ΤΖΩΤΖΙΟΥ,7116,179,1,10,c++,Build for Windows NT 4.0 using Visual Studio 2005?,2320,,
Yes,6,1,,08/03/2008,30,650,2013-03-04T21:07:55.040,2012-08-01T21:03:09.177,Robert Höglund,868546,143,1,73,c#,Automatically update version number,41541,,
Yes,6,0,,08/03/2008,5,657,2015-04-15T15:22:45.863,2015-04-15T15:22:45.863,Unkwntech,1938889,115,1,15,php,Encrypting Passwords,3431,,
Yes,8,0,,08/03/2008,0,683,2011-11-24T09:57:27.813,2008-08-23T16:11:59.307,Gaius,1190,199,1,25,python,Using 'in' to match an attribute of Python objects in an array,6894,,
Yes,8,0,,08/03/2008,3,696,2015-06-01T23:31:37.593,2015-06-01T23:31:37.593,Vaibhav,803367,204,1,21,php,Connect PHP to IBM i (AS/400),6664,,
Yes,10,1,,08/03/2008,4,709,2013-02-07T11:12:59.390,2012-05-20T15:50:14.897,Chris Fournier,866022,111,1,31,c#,.NET Testing Framework Advice,5721,,
Yes,9,0,,08/03/2008,9,742,2014-10-08T05:53:09.677,2008-09-11T20:14:02.330,,-1,189,1,26,python,Class views in Django,12151,,
Yes,12,0,,08/03/2008,74,752,2015-12-31T22:27:02.717,2015-05-23T05:36:00.793,,1034136,192,1,357,c#,Get a new object instance from a Type,213957,,
Yes,6,0,,08/03/2008,1,766,2015-10-10T20:00:39.080,2012-05-31T16:57:58.230,,487855,1384652,1,12,python,Python and MySQL,2196,,
Yes,8,0,,08/03/2008,97,773,2015-12-04T08:52:16.873,2014-08-06T21:34:45.097,,2026508,207,1,205,python,How do I use Python's itertools.groupby()?,86900,,
Yes,3,0,,08/03/2008,0,832,2015-04-07T12:52:29.133,2015-04-07T12:52:29.133,user1873471,2771704,224,1,7,c#,How do I most elegantly express left join with aggregate SQL as LINQ query,1404,,
Yes,9,2,,08/03/2008,12,845,2015-06-11T01:26:52.950,2015-05-07T10:35:43.650,Peter Hoffmann,2932698,238,1,76,html,How can I detect which font was used in a web page?,32571,,
Yes,12,1,,08/03/2008,40,879,2016-02-07T00:44:50.153,2014-05-25T01:52:44.717,Mark Biek,2581872,58,1,100,php,Are PHP Variables passed by value or by reference?,66909,,
Yes,29,14,2011-03-09T11:34:12.603,08/03/2008,140,888,2016-03-02T05:37:24.947,2015-06-04T10:18:02.297,,4248328,131,1,381,php,How do you debug PHP scripts?,272920,,
Yes,9,3,,08/04/2008,10,904,2015-08-27T12:40:39.950,2012-04-25T04:33:27.570,Jeff Atwood,214668,34,1,43,html,"In HTML, how to word-break on a dash?",13543,,
Yes,7,0,,08/04/2008,1,930,2016-02-07T00:44:17.747,2013-12-07T23:45:54.333,user2509901,0,245,1,26,c#,How do I connect to a database and loop over a recordset in C#?,18008,,
Yes,5,0,,08/04/2008,0,944,2013-02-07T13:39:29.647,2013-02-07T13:39:29.647,Ray,395659,233,1,12,c#,Unhandled Exception Handler in .NET 1.1,3760,,
Yes,16,3,,08/04/2008,191,972,2016-02-22T23:55:52.950,2016-02-22T23:55:52.950,eyelidlessness,971141,145,1,324,python,Adding a Method to an Existing Object Instance,89396,,
Yes,3,0,,08/04/2008,0,1010,2013-02-07T13:19:41.717,2013-02-07T13:19:41.717,,395659,67,1,12,c#,"How to get the value of built, encoded ViewState?",1424,,
Yes,2,1,,08/04/2008,10,1037,2013-03-22T09:28:21.557,2013-03-22T09:28:21.557,FryHard,725306,231,1,20,c#,Displaying Flash content in a C# WinForms application,32632,,
Yes,7,0,,08/04/2008,12,1040,2015-11-30T16:13:42.250,2011-08-20T23:34:44.577,Prakash,140328,254,1,41,c#,How do I delete a file which is locked by another process in C#?,38305,,
Yes,9,5,,08/04/2008,1,1041,2013-06-19T18:47:47.330,2011-12-02T18:01:27.820,Mark Biek,396458,0,1,13,c++,Easy-to-Use Regular Expression Support in C++?,870,,
Yes,15,5,2008-09-02T03:03:53.863,08/04/2008,26,1069,2015-09-01T17:32:32.120,2012-09-16T10:09:41.643,Alex Miller,1561378,257,1,38,c++,Heap corruption under Win32, how to locate?,31225,
Yes,6,1,,08/04/2008,0,1104,2016-02-07T00:42:29.573,2012-11-11T07:55:08.293,,1561378,236,1,12,c++,Ensuring that Exceptions are always Caught,1862,,
Yes,7,0,,08/04/2008,37,1171,2016-01-18T09:08:03.070,2014-12-15T15:03:02.017,,983912,280,1,42,python,What is the most efficient graph data structure in Python?,16703,,
Yes,3,0,,08/04/2008,0,1189,2013-04-11T20:17:48.500,2013-04-11T20:17:48.500,,1454806,258,1,6,c#,ViewState invalid only in Safari,2387,,
Yes,4,0,,08/04/2008,0,1241,2015-04-30T10:34:08.673,2015-04-30T10:34:08.673,,1468295,194,1,9,c#,Asynchronous multi-direction server-client communication over the same open socket?,2114,,
Yes,10,0,,08/04/2008,67,1276,2016-01-27T23:40:20.297,2016-01-27T23:40:20.297,,3664960,30,1,182,mysql,How big can a MySQL database get before performance starts to degrade,93715,,
Yes,12,3,,08/04/2008,36,1304,2016-02-07T00:35:28.460,2015-04-30T10:33:41.257,Gulzar,1468295,121,1,189,c#,How to check for file lock?,130240,,
Yes,6,3,,08/04/2008,117,1408,2015-06-01T13:43:23.073,2015-05-19T21:25:49.127,Mark Biek,2988337,58,1,182,php,Make XAMPP/Apache serve file outside of htdocs,147030,,
Yes,1,1,,08/04/2008,5,1417,2012-11-26T13:28:53.803,2012-11-26T13:28:53.803,user1645055,0,287,1,24,php,How can I get the authenticated user name under Apache using plain HTTP authentication and PHP?,15738,,
Yes,4,0,,08/04/2008,0,1453,2015-12-14T19:57:16.400,2015-12-14T19:57:16.400,Gaius,4595675,58,1,12,php,Using object property as default for method property,1013,,
Yes,4,4,,08/04/2008,27,1476,2016-01-08T21:15:07.433,2009-12-13T16:42:52.447,,63550,92,1,228,python,How do you express binary literals in Python?,103230,,
Yes,4,2,,08/04/2008,3,1505,2010-08-17T21:24:58.103,2008-08-04T19:07:43.147,Zack,83,83,1,18,html,How do I give my web sites an icon for iPhone?,6006,,
Yes,7,0,,08/04/2008,4,1528,2015-04-30T10:33:31.247,2015-04-30T10:33:31.247,MojoFilter,1468295,93,1,28,c#,Hiding inherited members,15095,,
Yes,4,1,,08/04/2008,4,1535,2010-09-13T02:25:02.620,,,0,332,1,23,c#,Reducing duplicate error handling code in C#?,1564,,
Yes,20,0,,08/04/2008,66,1607,2014-01-21T06:33:42.887,2008-08-29T19:09:04.530,Flubba,137,72,1,101,mysql,Mechanisms for tracking DB schema changes,27810,,
Yes,4,0,,08/05/2008,1,1734,2013-02-02T14:04:50.913,2013-02-02T14:04:50.913,,1675954,59,1,16,python,Any experiences with Protocol Buffers?,1671,,
Yes,4,0,,08/05/2008,6,1746,2013-10-25T13:09:44.307,2013-07-29T22:09:53.520,,8454,137,1,28,php,How can I get at the matches when using preg_replace in PHP?,8043,,
Yes,12,1,,08/05/2008,20,1760,2015-04-30T10:32:57.257,2015-04-30T10:32:57.257,Orion Edwards,1468295,234,1,48,c#,.NET Unit Testing packages?,8633,,
Yes,4,0,,08/05/2008,0,1762,2016-02-07T01:00:49.697,2009-01-24T03:19:15.033,Jim Anderson,42439,137,1,7,php,Why is my ternary expression not working?,613,,
Yes,4,0,,08/05/2008,0,1829,2015-03-01T17:34:42.907,2015-03-01T17:34:42.907,Grant,4099593,30,1,8,python,How do I make a menu that does not require the user to press [enter] to make a selection?,13496,,
Yes,4,4,,08/05/2008,4,1836,2013-02-06T00:29:06.207,2013-02-06T00:29:06.207,Vaibhav,2548,172,1,21,c#,Wiggling the mouse,7550,,
Yes,4,0,,08/05/2008,5,1848,2013-04-19T14:54:49.080,2013-01-08T12:45:28.863,Pat,1471203,36,1,17,c#,Locating Text within image,4391,,
Yes,18,2,,08/05/2008,49,1854,2015-12-08T19:04:08.743,2015-12-08T19:04:08.743,,116,116,1,221,python,Python: What OS am I running on?,69568,,
Yes,12,4,,08/05/2008,29,1898,2015-07-31T13:26:51.900,2013-01-08T12:44:51.233,,1471203,81,1,77,c#,CSV File Imports in .Net,52656,,
Yes,5,1,,08/05/2008,46,1936,2016-03-03T15:18:02.070,2012-11-19T04:20:55.127,Dan,364,364,1,98,c#,How to RedirectToAction in ASP.NET MVC without losing request data,71976,,
Yes,27,0,2008-09-02T06:49:25.930,08/05/2008,41,1973,2014-07-30T03:49:16.297,2014-07-30T03:49:16.297,Jeff Atwood,3818739,116,1,80,python,What is the best way to avoid SQL injection attacks?,22479,,
Yes,4,1,,08/05/2008,3,1982,2013-01-06T15:12:59.567,2013-01-06T15:12:59.567,,4411,2090742,1,22,c++,CPU throttling in C++,2717,,
Yes,12,0,,08/05/2008,3,1983,2016-02-19T02:15:31.263,2012-09-09T12:24:21.730,Mark Harrison,515203,116,1,23,python,"Python: what is the difference between (1,2,3) and [1,2,3], and when should I use each?",962,,
Yes,6,0,,08/05/2008,0,1994,2012-11-02T20:14:00.737,2012-11-02T20:14:00.737,,912495,195,1,7,c#,"Any solution to the ""illegal cross thread call"" ?",3185,,
Yes,5,0,,08/05/2008,0,1995,2015-12-14T09:16:52.833,2015-12-14T09:16:52.833,,3751577,51,1,9,c#,Most Efficient Way to Test Object Type,830,,
No,5,0,,08/05/2008,0,2092,2015-12-15T05:55:55.830,2015-12-15T05:55:55.830,Ned Batchelder,2833965,0,1,8,java,"How to get started ""writing"" a code coverage tool?",1560,,
Yes,8,1,,08/05/2008,4,2123,2016-02-07T00:57:46.397,2008-08-05T12:50:41.517,Ronnie,193,193,1,12,html,How do I make a checkbox toggle from clicking on the text label as well?,12902,,
Yes,4,0,,08/05/2008,3,2154,2015-04-30T10:31:30.213,2015-04-30T10:31:30.213,GateKiller,1468295,383,1,14,c#,Developing for ASP.NET-MVC without Visual Studio,4453,,
Yes,5,0,,08/05/2008,29,2158,2016-02-13T08:37:17.243,2012-06-26T06:51:58.910,,714968,340,1,60,java,Creating a custom button in Java,72765,,
Yes,3,0,,08/05/2008,2,2209,2015-11-24T06:36:46.773,2014-05-14T17:56:39.150,JasonBunting,247702,396,1,8,c#,How can I change the background of a masterpage from the code behind of a content page?,10457,,
Yes,12,0,,08/05/2008,4,2214,2015-04-30T10:29:47.187,2015-04-30T10:29:47.187,,1468295,395,1,11,c#,What's the best way to implement BDD/TDD in .NET 2.0?,2350,,
Yes,5,1,,08/05/2008,13,2250,2015-04-30T10:31:05.997,2015-04-30T10:30:50.770,,1468295,383,1,75,c#,Datatable vs Dataset,64233,,
Yes,4,0,,08/05/2008,4,2256,2015-02-16T10:13:58.103,2014-08-08T13:52:54.077,Chris Fournier,2159583,379,1,11,c#,Mapping Stream data to data structures in C#,5720,,
No,3,0,,08/05/2008,0,2267,2010-02-17T22:15:28.817,2010-02-17T22:15:28.817,,95135,111,1,3,c#,How to filter and combine 2 datasets in C#,2269,,
Yes,3,0,,08/05/2008,2,2311,2015-12-14T19:54:38.007,2015-12-14T19:54:38.007,,4595675,394,1,18,python,File size differences after copying a file to a server vía FTP,2753,,
No,7,0,,08/05/2008,12,2384,2015-08-31T16:08:11.753,2013-10-17T19:43:12.890,,2000557,143,1,31,c#,Read binary file into a struct,45136,,
Yes,13,3,,08/05/2008,21,2483,2010-10-28T09:21:44.530,,,0,91,1,69,c#,Casting: (NewType) vs. Object as NewType,5107,,
Yes,14,1,,08/05/2008,51,2488,2014-12-15T00:05:21.913,2012-04-01T10:30:48.577,Mark Biek,1219121,58,1,197,mysql,Auto Generate Database Diagram MySQL,205648,,
Yes,7,0,,08/05/2008,19,2527,2014-05-29T22:11:10.823,2012-10-08T13:55:26.443,,825024,428,1,50,c#,Find node clicked under context menu,42929,,
Yes,29,9,,08/05/2008,182,2530,2016-02-25T15:27:56.550,2015-01-27T08:02:01.623,Chris,1796061,307,1,1382,html,How do you disable browser Autocomplete on web form field / input tag?,469570,,
Yes,11,1,,08/05/2008,0,2688,2014-03-25T01:35:36.000,2014-03-25T01:35:36.000,Andy Lester,1047662,432,1,10,mysql,What do I need to escape when sending a query?,1776,,
Yes,5,1,,08/05/2008,9,2711,2014-12-28T11:44:38.030,2008-09-29T23:41:24.390,Jason Baker,2147,45,1,9,css,"What sites offer free, quality web site design templates?",1943,,
Yes,15,0,,08/05/2008,7,2756,2012-03-22T00:34:54.547,2012-03-22T00:34:54.547,,3,431,1,10,c++,Lightweight IDE for Linux,57518,,
Yes,3,0,,08/05/2008,7,2780,2016-02-07T01:08:27.133,2012-05-04T10:00:52.640,,1039608,45,1,12,c#,Converting ARBG to RGB with alpha blending,8428,,
Yes,13,1,,08/05/2008,32,2785,2015-01-29T07:23:54.357,2012-05-04T09:59:02.557,Leon Bambrick,1039608,33,1,130,c#,Setting Objects to Null/Nothing after use in .NET,43269,,
Yes,2,0,,08/05/2008,0,2804,2012-05-04T09:53:41.417,2012-05-04T09:53:41.417,Simon,1039608,328,1,8,c#,How should I translate from screen space coordinates to image space coordinates in a WinForms PictureBox?,2869,,
Yes,40,12,2010-07-22T04:31:27.977,08/05/2008,346,2861,2016-01-06T15:55:20.063,2015-08-16T18:42:44.460,David,4848447,116,1,333,html,Options for HTML scraping?,132558,,
Yes,4,2,,08/05/2008,23,2871,2016-02-07T01:06:58.447,2016-02-07T01:06:32.437,TK,2921691,206,1,43,c#,Reading a C/C++ data structure in C# from a byte array,29518,,
Yes,3,0,,08/05/2008,2,2872,2016-02-07T01:06:01.593,2016-02-07T01:06:01.593,Andreas H.R. Nilsson,2921691,446,1,13,c#,"Possible to ""spin off"" several GUI threads? (Not halting the system at Application.Run)",898,,
No,2,0,,08/05/2008,2,2874,2013-11-01T16:26:52.507,2013-11-01T16:26:52.507,Peter Hession,2416538,441,1,18,c#,How to render a control to look like ComboBox with Visual Styles enabled?,4019,,
Yes,11,0,,08/05/2008,0,2900,2016-02-07T01:04:51.153,2016-01-27T23:42:57.653,,3664960,454,1,7,mysql,MySQL/Apache Error in PHP MySQL query,4973,,
No,1,1,,08/05/2008,2,2931,2015-10-27T09:35:19.443,2015-10-27T09:35:19.443,,2553431,360,1,12,java,Getting started with a custom JXTA PeerGroup,1093,,
Yes,8,0,,08/05/2008,127,2933,2015-05-19T02:25:43.080,2015-05-19T02:25:43.080,lubos hasko,3924118,1384652,1,151,python,How can I create a directly-executable cross-platform GUI app using Python?,75218,,
Yes,15,1,,08/05/2008,4,2968,2015-10-27T10:00:40.993,2014-05-13T17:34:45.040,Lane,362,362,1,23,java,What are the different methods to parse strings in Java?,48006,,
Yes,6,0,,08/06/2008,6,2987,2011-05-06T14:44:47.903,,,0,324,1,24,c#,Bringing Window to the Front in C# using Win32 API,13848,,
Yes,11,0,,08/06/2008,27,3017,2015-04-28T12:46:34.157,2012-10-04T07:54:36.140,EnderMB,313113,391,1,119,c#,How to generate getters and setters in Visual Studio?,209137,,
Yes,11,0,,08/06/2008,5,3049,2016-01-28T18:00:18.230,,,0,462,1,24,java,How do I configure and communicate with a serial port?,8816,,
Yes,8,0,,08/06/2008,198,3061,2014-10-24T08:23:29.887,2014-10-24T08:23:29.887,,1202512,121,1,618,python,Calling a function of a module from a string with the function's name in Python,232084,,
No,87,3,2008-09-03T05:10:42.210,08/06/2008,490,3088,2012-08-04T01:54:34.093,2011-11-24T11:03:40.387,epatel,447356,92,1,327,python,Best ways to teach a beginner to program?,100921,,
Yes,12,3,,08/06/2008,41,3150,2013-02-15T14:17:41.560,2009-10-14T23:53:36.767,Chris Fournier,63550,370,1,67,c++,How to set up unit testing for Visual Studio C++,49748,,
Yes,10,3,,08/06/2008,22,3213,2016-02-07T14:11:39.497,2012-01-31T14:33:46.707,Gortok,4714,383,1,39,c#,Convert integers to written numbers,19795,,
Yes,5,0,,08/06/2008,4,3224,2016-02-07T14:04:38.793,2014-12-17T16:11:27.553,Stu Thompson,1987598,486,1,29,css,How can I make the browser see CSS and Javascript changes?,4718,,
Yes,5,1,,08/06/2008,10,3230,2015-02-16T10:35:05.477,,,0,370,1,21,c++,How do you pack a visual studio c++ project for release?,21281,,
Yes,3,0,,08/06/2008,1,3231,2014-07-18T17:17:09.057,2008-09-10T18:13:56.557,,-1,381,1,15,c++,C/C++ library for reading MIDI signals from a USB MIDI device,14984,,
Yes,3,0,2008-09-01T08:15:49.223,08/06/2008,2,3234,2008-09-01T08:15:49.223,2008-09-01T08:15:49.240,FryHard,231,231,1,6,c#,Displaying ad content from Respose.WriteFile()/ Response.ContentType,16570,,
Yes,2,0,,08/06/2008,0,3248,2013-01-09T05:39:41.133,2013-01-09T05:39:41.133,benefactual,1471203,195,1,2,c#,"""documentation"" conventions and auto checking them",378,,
Yes,8,4,,08/06/2008,12,3284,2013-04-15T16:10:01.077,2011-01-08T22:20:09.187,lomaxx,63550,493,1,117,c#,Why can't I have abstract static methods in C#?,58003,,
Yes,5,1,,08/06/2008,2,3315,2015-10-22T03:07:56.643,2015-10-22T03:07:56.643,Michael Stum,2197604,503,1,11,c#,Can I have a method returning IEnumerator<T> and use it in a foreach loop?,8543,,
Yes,13,0,,08/06/2008,2,3319,2016-02-10T15:56:12.303,2015-12-14T12:04:21.357,,4130289,383,1,58,css,CSS background color in JavaScript,99194,,
Yes,15,0,,08/06/2008,106,3432,2015-09-29T22:11:25.683,2013-06-25T20:03:23.627,Teifion,426671,1384652,1,193,mysql,Multiple Updates in MySQL,161100,,
Yes,5,0,,08/06/2008,0,3512,2012-08-10T06:34:13.830,2012-08-10T06:34:13.830,Avenger546,246246,517,1,5,c#,Searching directories for tons of files?,381,,
Yes,13,0,,08/06/2008,35,3585,2014-06-23T11:47:55.693,2012-09-01T19:28:22.570,Justin Standard,9314,124,1,79,mysql,Create a new Ruby on Rails application using MySQL instead of SQLite,96870,,
Yes,7,0,,08/06/2008,3,3611,2015-08-31T16:10:37.667,2015-08-31T16:10:37.667,Steve Willard,2185245,402,1,5,php,PHP Error - Uploading a file,10025,,
Yes,15,0,,08/06/2008,3,3654,2010-01-10T12:08:41.387,2008-08-06T17:00:01.077,sparkes,269,269,1,13,html,HTML version choice,638,,
Yes,7,1,,08/06/2008,0,3682,2014-02-27T11:36:00.383,2012-05-21T17:37:00.937,Michiel de Mare,866022,136,1,3,mysql,Distribution of table in time,1382,,
Yes,18,1,,08/06/2008,35,3713,2016-03-05T09:29:55.800,2016-01-20T15:13:59.097,Matt S,3853934,557,1,102,c#,Call ASP.NET Function From Javascript?,198228,,
Yes,3,0,,08/06/2008,2,3725,2016-01-17T12:49:42.543,2013-12-28T06:19:48.327,,2780033,551,1,9,c#,How to create a tree-view preferences dialog type of interface in C#?,3177,,
No,3,1,,08/06/2008,5,3798,2013-12-27T09:23:53.427,2011-09-21T00:03:45.813,,436641,547,1,11,mysql,Full complete MySQL database replication? Ideas? What do people do?,2109,,
Yes,7,0,,08/06/2008,0,3839,2015-03-15T19:47:56.820,2013-06-25T20:03:51.847,mauriciopastrana,426671,547,1,9,mysql,How do I Concatenate entire result sets in MySQL?,10436,,
Yes,26,3,,08/06/2008,86,3881,2015-11-03T21:39:35.567,2014-01-17T12:18:34.950,Chris Fournier,3156863,122,1,316,java,IllegalArgumentException or NullPointerException for a null parameter?,84315,,
Yes,4,0,,08/06/2008,2,3903,2016-02-07T17:39:31.450,2016-02-07T17:39:31.450,Michael Stum,2921691,560,1,9,c#,Is this a good way to determine OS Architecture?,4692,,
Yes,30,0,2012-07-09T20:18:14.860,08/06/2008,292,3927,2012-11-13T13:51:26.783,2011-12-09T17:53:25.813,Epaga,3043,121,1,374,c#,What Are Some Good .NET Profilers?,217416,,
No,2,2,,08/06/2008,2,3976,2015-11-15T13:15:20.733,2012-08-20T20:18:10.340,amrox,50776,556,1,10,python,Programmatically talking to a Serial Port in OS X or Linux,13429,,
Yes,2,0,,08/06/2008,1,3978,2015-12-14T19:53:32.090,2015-12-14T19:53:32.090,Gaius,4595675,572,1,7,php,Multi-Paradigm Languages,1003,,
