"","AcceptedAnswerId","AnswerCount","CommentCount","FavoriteCount","Important","Score","Tags","Title","ViewCount","OwnerUserId","rankpred"
"4997","Yes",5,5,100,"unknown",5,"html","Make a div fade away nicely after a given amount of time",10,16440,0.999999995697569
"5921","Yes",5,0,100,"unknown",61,"html","Determine if an HTML element's content overflows",10,0,0.999999995517015
"1413","Yes",5,0,100,"unknown",5,"html","How to grab the contents of HTML tags?",10,428190,0.999999995327087
"4633","Yes",5,0,100,"unknown",2,"html","Dragging HTML cells over the table using Javascript",10,404206,0.999999995003002
"5534","Yes",5,0,100,"unknown",2,"html","Zooming an element and its contents-- an alternative to CSS3's zoom property?",10,401774,0.999999994986182
"6487","Yes",5,0,100,"unknown",0,"html","How do I ensure Visual Studio 2005 displays the tables and images correctly?",10,414107,0.999999994958173
"2720","Yes",5,0,100,"unknown",48,"html","IE7 CSS Scrolling Div Bug",10,3617,0.999999994833147
"5702","Yes",5,0,100,"unknown",8,"html","What is the best way to prevent highlighting of text when clicking on its containing div in javascript?",10,315650,0.999999994722992
"5599","Yes",5,0,100,"unknown",43,"html","Can emacs re-indent a big blob of HTML for me?",10,7598,0.999999994562653
"56","Yes",5,0,100,"unknown",43,"html","In HTML, how to word-break on a dash?",10,34,0.99999999450553
"4389","Yes",5,0,100,"unknown",39,"html","Change the width of form elements created with ModelForm in Django",10,2592,0.999999994271635
"1981","Yes",5,0,100,"unknown",38,"html","How can I retrieve the page title of a webpage using Python?",10,2386,0.999999994204856
"167","Yes",5,0,100,"unknown",37,"html","What was the <XMP> tag used for?",10,383,0.999999994122724
"5566","Yes",5,0,100,"unknown",36,"html","Why doesn't IE7 copy <pre><code> blocks to the clipboard correctly?",10,1,0.999999994052763
"6074","Yes",5,0,100,"unknown",29,"html","REGEX: Grabbing everything until a specific word",10,18431,0.999999993724825
"4622","Yes",5,0,100,"unknown",27,"html","What is the best way to embed LaTeX in a webpage?",10,16970,0.99999999356835
"1565","Yes",5,0,100,"unknown",29,"html","How to escape < and > inside <pre> tags",10,373,0.999999993566289
"409","Yes",5,0,100,"unknown",26,"html","How to create an all browser-compatible hanging indent style in CSS in a span",10,362,0.999999993344235
"1209","Yes",5,0,100,"unknown",25,"html","HTML Scraping in Php",10,3575,0.999999993298377
"454","Yes",5,0,100,"unknown",23,"html","Scrolling Overflowed DIVs with JavaScript",10,1384,0.999999993124337
"1646","Yes",5,0,100,"unknown",23,"html","Strip all HTML tags except links",10,1306,0.999999993123596
"1750","Yes",5,0,100,"unknown",23,"html","How to determine if user selected a file for file upload?",10,698,0.999999993117817
"2817","Yes",5,0,100,"unknown",23,"html","How to highlight source code in HTML?",10,184,0.999999993112928
"4513","Yes",5,0,100,"unknown",20,"html","Which CSS tag creates a box like this with title?",10,20165,0.999999993069337
"3692","Yes",5,0,100,"unknown",21,"html","Can CSS truly override the order of HTML elements on a page?",10,11461,0.999999993064341
"4164","Yes",5,0,100,"unknown",20,"html","Applying Styles To ListItems in CheckBoxList",10,12096,0.999999992991636
"4365","Yes",5,0,100,"unknown",20,"html","Auto-format structured data (phone, date) using jQuery plugin (or failing that vanilla JavaScript)",10,9706,0.999999992968455
"6204","Yes",5,0,100,"unknown",21,"html","Implementing a resizable textarea?",10,305,0.999999992956607
"281","Yes",5,0,100,"unknown",20,"html","Solve the select overlap bug in IE6",10,268,0.999999992876162
"2696","Yes",5,0,100,"unknown",19,"html","How do I create a link to a footnote in HTML?",10,4872,0.999999992840852
"2055","Yes",5,0,100,"unknown",19,"html","HTML meta keyword/description element, useful or not?",10,1897,0.999999992811364
"1564","No",5,0,100,"unknown",19,"html","If you were programming a calendar in HTML would you use Table tags or Div tags?",10,1765,0.999999992810053
"2434","Yes",5,0,100,"unknown",19,"html","Does Django have HTML helpers?",10,796,0.99999999280042
"177","No",5,0,100,"unknown",19,"html","Is a ""Confirm Email"" input good practice when user changes email address?",10,323,0.999999992795713
"655","Yes",5,0,100,"unknown",19,"html","What's the best way to go from a Photoshop mockup to semantic HTML and CSS?",10,5,0.999999992792547
"6358","No",5,0,100,"unknown",17,"html","middle click (new tabs) and javascript links",10,16070,0.999999992789559
"5268","Yes",5,0,100,"unknown",18,"html","How do I keep a DIV from expanding to take up all available width?",10,7598,0.999999992786674
"1281","Yes",5,0,100,"unknown",18,"html","Validate (X)HTML in Python",10,3594,0.999999992746658
"4337","Yes",5,0,100,"unknown",18,"html","Relative urls for Javascript files",10,3355,0.999999992744262
"75","Yes",5,0,100,"unknown",18,"html","How do I give my web sites an icon for iPhone?",10,83,0.999999992711386
"4308","Yes",5,0,100,"unknown",16,"html","What is the best way to replace the file browse button in html?",10,16039,0.999999992707266
"5656","Yes",5,0,100,"unknown",17,"html","Is it possible to manipulate an SVG document embedded in an HTML doc with JavaScript?",10,3355,0.999999992661767
"2430","Yes",5,0,100,"unknown",17,"html","Using CSS how best to display name value pairs?",10,1122,0.999999992639091
"4165","Yes",5,0,100,"unknown",16,"html","Is there a way to force a style to a div element which already has a style="""" attribute",10,4898,0.999999992594139
"2102","Yes",5,0,100,"unknown",16,"html","Dynamically inserting javascript into HTML that uses document.write",10,4174,0.999999992586727
"1324","Yes",5,0,100,"unknown",16,"html","How do I keep whitespace formatting using PHP/HTML?",10,3831,0.999999992583213
"201","Yes",5,0,100,"unknown",16,"html","HTML comments break down",10,219,0.999999992546106
"5623","Yes",5,0,100,"unknown",13,"html","What is the best way to parse a web page in Ruby?",10,22423,0.999999992521931
"1930","Yes",5,0,100,"unknown",15,"html","how to remove black border around hyperlinked image?",10,4540,0.999999992506231
"1363","Yes",5,0,100,"unknown",15,"html","Filter out HTML tags and resolve entities in python",10,3971,0.999999992500337
"1942","Yes",5,0,100,"unknown",15,"html","How do I suppress firefox password field completion?",10,3757,0.999999992498119
"834","Yes",5,0,100,"unknown",15,"html","Are named entities in HTML still necessary in the age of Unicode aware browsers?",10,2077,0.999999992480685
"1375","Yes",5,0,100,"unknown",15,"html","Link to samba shares in html",10,1666,0.999999992476414
"1589","Yes",5,0,100,"unknown",15,"html","Is there a max number of options (values) in HTML drop down control?",10,415,0.999999992463399
"188","Yes",5,0,100,"unknown",15,"html","How to set up a CSS switcher",10,5,0.999999992459128
"1816","Yes",5,0,100,"unknown",14,"html","Most elegant way to force a TEXTAREA element to line-wrap, *regardless* of whitespace",10,4939,0.999999992425206
"5095","No",5,0,100,"unknown",14,"html","Python library for rendering HTML and javascript",10,1448,0.999999992388581
"715","Yes",5,0,100,"unknown",14,"html","What is the easiest-to-use web ""rich text editor""",10,1363,0.999999992387687
"1949","Yes",5,0,100,"unknown",13,"html","CSS - Placement of a div in the lower left-hand corner",10,4646,0.99999999233598
"1626","Yes",5,0,100,"unknown",13,"html","Max length for html text areas",10,3512,0.999999992323963
"1233","Yes",5,0,100,"unknown",13,"html","How do you swap DIVs on mouseover? (jquery?)",10,3377,0.999999992322531
"1666","No",5,0,100,"unknown",13,"html","What is the best way to send html/image email?",10,1797,0.999999992305753
"3592","Yes",5,0,100,"unknown",11,"html","How to stretch an HTML table to 100% of the browser window height?",10,17216,0.999999992295688
"4461","Yes",5,0,100,"unknown",11,"html","What is the difference between ""lang"" and ""type"" attributes in a script tag?",10,16398,0.999999992286976
"5617","Yes",5,0,100,"unknown",11,"html","CSS for hover that includes all child elements",10,14971,0.999999992271754
"3050","Yes",5,0,100,"unknown",12,"html","How can I make Internet Explorer not change the colors in my PNG images",10,4898,0.999999992251541
"2325","Yes",5,0,100,"unknown",12,"html","HTML.Button in ASP.NET MVC",10,3834,0.999999992240142
"707","Yes",5,0,100,"unknown",12,"html","Nesting HTML- anchor tags",10,2078,0.999999992221292
"2025","Yes",5,0,100,"unknown",12,"html","Browser refresh behaviour",10,1000,0.999999992209697
"95","Yes",5,0,100,"unknown",12,"html","How do I make a checkbox toggle from clicking on the text label as well?",10,193,0.999999992201006
"3754","Yes",5,0,100,"unknown",11,"html","How do download accelerators work?",10,5581,0.999999992170835
"5426","Yes",5,0,100,"unknown",9,"html","How to convert multiple <br/> tag to a single <br/> tag in php",10,20907,0.999999992159587
"5898","Yes",5,0,100,"unknown",9,"html","Pseudo class :hover does not work in IE7",10,20403,0.999999992154126
"4809","Yes",5,0,100,"unknown",10,"html","Set tag's size attribute through css?",10,11333,0.999999992144499
"1739","Yes",5,0,100,"unknown",11,"html","What's the easiest way to convert Wiki markup to HTML?",10,681,0.99999999211765
"4747","Yes",5,0,100,"unknown",9,"html","What is semantic markup, and why would I want to use that?",10,16398,0.999999992110589
"3950","Yes",5,0,100,"unknown",11,"html","How do you parse a web page and extract all the href links?",10,0,0.99999999211023
"6530","Yes",5,0,100,"unknown",8,"html","Cross browser ""jump to""/""scroll"" textarea",10,23845,0.999999992102568
"4594","Yes",5,0,100,"unknown",9,"html","Is there a way to get the parent URL from an Iframe's content?",10,12382,0.999999992066691
"4204","Yes",15,0,1000,"unknown",2019,"c#","How do I enumerate an enum?",100,12597,0.999999992043319
"5503","Yes",5,0,100,"unknown",10,"html","Why do Chrome, Firefox and IE all render fixed-width SELECT controls differently?",10,1768,0.999999992039994
"435","Yes",5,0,100,"unknown",10,"html","How is the HTML on this site so clean?",10,1469,0.999999992036705
"4968","Yes",5,0,100,"unknown",9,"html","How do I place HTML content above a Flash movie?",10,9438,0.999999992034356
"769","Yes",5,0,100,"unknown",10,"html","Is there some way to show HTML content inside Flash?",10,184,0.999999992022554
"6548","Yes",5,0,100,"unknown",7,"html","Displaying whitespace in HTML when pulling from MySQL TEXT column",10,23976,0.999999992014222
"3290","Yes",5,0,100,"unknown",9,"html","HTML drag and drop sortable tables",10,7382,0.999999992011695
"5765","No",5,0,100,"unknown",7,"html","Testing for multiple screens with javascript",10,21030,0.99999999198165
"2157","Yes",5,0,100,"unknown",9,"html","How do I implement a HTML cache for a PHP site?",10,3654,0.999999991970442
"2804","Yes",5,0,100,"unknown",8,"html","Does the DOCTYPE declaration have to be the first tag in an HTML document?",10,11249,0.999999991963922
"6077","Yes",5,0,100,"unknown",8,"html","Are there any free ways to turn an html page into an image with .net",10,10102,0.999999991951176
"1318","Yes",5,0,100,"unknown",9,"html","Fixed Legend in Google Maps Mashup",10,1482,0.99999999194631
"4856","Yes",5,0,100,"unknown",8,"html","iPhone Full Screen Image",10,8897,0.999999991937764
"220","Yes",5,0,100,"unknown",9,"html","Regular expression for parsing links from a webpage?",10,322,0.999999991933391
"2443","Yes",5,0,100,"unknown",9,"html","Code to make a DHTMLEd control replace straight quotes with curly quotes",10,4,0.999999991929846
"5579","Yes",5,0,100,"unknown",8,"html","Why doesn't a <table>'s margin collapse with an adjacent <p>?",10,7598,0.999999991923281
"1346","Yes",5,0,100,"unknown",8,"html","How do I make an HTML page print in landscape when the user selects 'print'?",10,3915,0.999999991882077
"2426","No",5,0,100,"unknown",8,"html","Is there a good, free WYSIWYG editor for creating HTML using a Django template?",10,3834,0.999999991881168
"1618","Yes",5,0,100,"unknown",8,"html","Is there a standard HTML layout with multiple CSS styles available?",10,3355,0.999999991875793
"1211","Yes",5,0,100,"unknown",8,"html","What is the best way to add an event in JavaScript?",10,3122,0.999999991873177
"2048","Yes",5,0,100,"unknown",8,"html","CSS overflow table row positioning",10,2536,0.999999991866595
"1497","Yes",5,0,100,"unknown",8,"html","Simple Ajax/PHP contact form with validation",10,2493,0.999999991866111
"4357","Yes",5,0,100,"unknown",8,"html","How would you achieve this table based layout using CSS instead of HTML tables?",10,2284,0.999999991863762
"2302","Yes",5,0,100,"unknown",8,"html","<iframe> - How to show the whole height of referenced page?",10,2260,0.999999991863492
"924","Yes",5,0,100,"unknown",8,"html","DOM manipulation in PHP",10,889,0.999999991848065
"3642","Yes",5,0,100,"unknown",6,"html","Beginning Web Development on Plan 9",10,16981,0.999999991844989
"506","Yes",5,0,100,"unknown",8,"html","Executing JavaScript to Render HTML for Server-Side Caching",10,0,0.999999991838046
"4959","Yes",5,0,100,"unknown",6,"html","Can I use RegEx and VI (or something similar) to autofill some text for me?",10,16292,0.999999991837222
"5809","No",5,0,100,"unknown",5,"html","Gracefully closing a frame (toolbar) around an iframe",10,22802,0.999999991818337
"4258","Yes",5,0,100,"unknown",6,"html","adding html to my RSS/Atom feed in Rails",10,14559,0.999999991817653
"2252","No",5,0,100,"unknown",7,"html","How to position a DIV to fill all available space between a header DIV and a footer DIV?",10,5348,0.999999991806018
"3082","Yes",5,0,100,"unknown",6,"html","CSS ""frameworks"" that account for browser irregularities?",10,13419,0.999999991804755
"2376","Yes",5,0,100,"unknown",7,"html","In PHP is it possible to use a function inside a variable",10,4867,0.999999991800571
"6121","Yes",5,0,100,"unknown",5,"html","What is your favourite Java Script WYSIWYG Editor component?",10,21027,0.999999991798247
"1796","Yes",5,0,100,"unknown",7,"html","A Well-Designed Web App GUI Framework?",10,4494,0.999999991796344
"5433","No",5,0,100,"unknown",7,"html","How do you create an HTML table with adjustable columns?",10,4491,0.99999999179631
"3794","Yes",5,0,100,"unknown",7,"html","Is "">"" (U+003E GREATER-THAN SIGN) allowed inside an html-element attribute value?",10,4279,0.999999991793906
"3519","Yes",5,0,100,"unknown",6,"html","Javascript and why capital letters sometimes work and sometimes don't",10,11795,0.999999991786346
"6066","Yes",5,0,100,"unknown",7,"html","Javascript Events: Getting notified of changes in an <input> control value",10,3314,0.999999991782958
"4635","Yes",5,0,100,"unknown",5,"html","I'm looking for a regular expression to remove a given (x)HTML tag from a string",10,19074,0.999999991776086
"2760","No",5,0,100,"unknown",6,"html","text watermark on website? how to do it?",10,10755,0.999999991774535
"1181","Yes",5,0,100,"unknown",7,"html","How do you use a flash object as a link?",10,2214,0.99999999177046
"1240","Yes",5,0,100,"unknown",7,"html","Making an iframe take vertical space",10,1983,0.999999991767833
"1921","Yes",5,0,100,"unknown",7,"html","Sources of inspiration for navigation breadcrumbs",10,1944,0.999999991767389
"5258","Yes",5,0,100,"unknown",6,"html","Why is there a gap between my image and its containing box?",10,7598,0.999999991738577
"5027","Yes",5,0,100,"unknown",6,"html","How can I select an <img> element programmatically using JavaScript?",10,7441,0.999999991736785
"3509","Yes",5,0,100,"unknown",5,"html","How to enter Javascript into a wiki page?",10,15346,0.999999991733616
"6306","Yes",5,0,100,"unknown",5,"html","Textarea in IE7 disappears on mouse over",10,13800,0.99999999171594
"2061","Yes",5,0,100,"unknown",6,"html","Getting international characters from a web page?",10,5346,0.999999991712832
"1755","Yes",5,0,100,"unknown",6,"html","Center a block of content when you don't know its width in advance",10,4264,0.999999991700434
"2219","Yes",5,0,100,"unknown",6,"html","Will .NET MVC give me the HTML/CSS/JS separation I need?",10,3212,0.999999991688361
"5812","No",5,0,100,"unknown",5,"html","Javascript to detect whether the dropdown of a select element is visible",10,10290,0.999999991675667
"555","Yes",5,0,100,"unknown",6,"html","How do you handle white space in your HTML",10,1948,0.999999991673833
"1863","No",5,0,100,"unknown",6,"html","Best way to compress HTML, CSS & JS with mod_deflate and mod_gzip disabled",10,1944,0.999999991673787
"6300","Yes",5,0,100,"unknown",5,"html","Tools for refactoring table-based HTML layouts to CSS?",10,10116,0.999999991673666
"517","No",5,0,100,"unknown",6,"html","IE7 HTML/CSS margin-bottom bug",10,1797,0.999999991672096
"360","Yes",5,0,100,"unknown",6,"html","style.display not working in Firefox, Opera, Safari - IE7 OK",10,521,0.9999999916574
"4918","Yes",5,0,100,"unknown",5,"html","What to do when IE's moveToElementText spits out an Invalid Argument exception",10,8458,0.99999999165457
"232","Yes",5,0,100,"unknown",6,"html","How can I enable disabled radio buttons?",10,232,0.999999991654068
"6199","No",5,0,100,"unknown",3,"html","How do eliminate the flicker effect on ajax call",10,23486,0.999999991639138
"1923","Yes",5,0,100,"unknown",5,"html","In HTML, what should happen to a selected, disabled option element?",10,5058,0.999999991615273
"3040","Yes",5,0,100,"unknown",4,"html","Not using widths & padding/margins on the same element?",10,12930,0.999999991611675
"4061","Yes",5,0,100,"unknown",4,"html","Best Way To Format An HTML Email?",10,12096,0.999999991602004
"1238","Yes",5,0,100,"unknown",5,"html","inline-block on span",10,3635,0.999999991598772
"1546","Yes",5,0,100,"unknown",5,"html","jQuery tablesorter plugin column width incorrect in IE7",10,2847,0.99999999158962
"5481","Yes",5,0,100,"unknown",5,"html","Why do small spaces keep showing up in my web pages?",10,2577,0.999999991586482
"4467","Yes",5,0,100,"unknown",3,"html","How do I use genshi.builder to programmatically build an HTML document?",10,18866,0.999999991585598
"854","Yes",5,0,100,"unknown",5,"html","Filtering out anchor tags in a string",10,2121,0.999999991581179
"585","Yes",5,0,100,"unknown",5,"html","iFrame Best Practices",10,2056,0.999999991580423
"4382","Yes",5,0,100,"unknown",4,"html","Internet Explorer ol numbers appear at bottom of li instead of top as expected",10,10140,0.999999991579277
"6108","Yes",5,0,100,"unknown",3,"html","Page working in FF, not in IE, where to start",10,18255,0.999999991578491
"1075","No",5,0,100,"unknown",5,"html","A WYSIWYG Markdown control for Windows Forms?",10,1600,0.999999991575117
"337","Yes",5,0,100,"unknown",5,"html","Planning and Building a mobile enabled site for your main site",10,648,0.999999991564028
"2306","Yes",5,0,100,"unknown",5,"html","""Quoted-printable line longer than 76 chars"" warning when sending HTML E-Mail",10,475,0.999999991562011
"1883","Yes",5,0,100,"unknown",5,"html","Linking combo box (JQuery preferrably)",10,364,0.999999991560717
"325","Yes",5,0,100,"unknown",5,"html","How have Html entities inside asp.net page?",10,296,0.999999991559924
"2207","Yes",5,0,100,"unknown",5,"html","Export ASPX to HTML",10,278,0.999999991559714
"1006","Yes",5,0,100,"unknown",5,"html","HTML Select Tag with black background - dropdown triangle is invisible in Firefox 3",10,234,0.999999991559201
"3866","No",5,0,100,"unknown",5,"html","How do I get flash to reload the parent HTML page it is embedded in?",10,0,0.999999991556472
"6521","Yes",5,0,100,"unknown",2,"html","Nested dropdown",10,22837,0.999999991536492
"493","No",5,0,100,"unknown",3,"html","How should I handle autolinking in wiki page content?",10,14446,0.999999991534054
"5568","No",5,0,100,"unknown",2,"html","Copy&paste from Office 2007 into <textarea>",10,21980,0.999999991526465
"6082","Yes",5,0,100,"unknown",4,"html","Hiding table rows without resizing overall width",10,5291,0.999999991522671
"4265","Yes",5,0,100,"unknown",4,"html","webpage template where content takes full height of viewport if has 1 line minus footer",10,5232,0.99999999152198
"1908","No",5,0,100,"unknown",4,"html","Practical solution to center vertically and horizontally in HTML that works in FF, IE6 and IE7",10,5139,0.99999999152089
"6484","Yes",5,0,100,"unknown",4,"html","Color differences between images and html",10,4489,0.999999991513272
"1308","Yes",5,0,100,"unknown",4,"html","How do I set the name of a window in ROR?",10,3764,0.999999991504767
"4922","Yes",5,0,100,"unknown",4,"html","Is there a .NET equivalent of Perl's LWP / WWW::Mechanize?",10,3347,0.999999991499871
"2413","Yes",5,0,100,"unknown",4,"html","When did browsers start supporting multiple classes per tag?",10,3283,0.999999991499119
"6261","Yes",5,0,100,"unknown",4,"html","HTML input style to hide the box but show the contents",10,3043,0.9999999914963
"4161","Yes",5,0,100,"unknown",2,"html","Information on how to use margins",10,19159,0.999999991493373
"1105","Yes",5,0,100,"unknown",4,"html","Best way to fetch a varying HTML tag",10,2644,0.99999999149161
"3915","Yes",5,0,100,"unknown",3,"html","Debounce clicks when submitting a web form",10,10788,0.999999991491157
"1623","Yes",5,0,100,"unknown",4,"html","Images not displaying in WebKit based browsers",10,2592,0.999999991490999
"754","Yes",5,0,100,"unknown",4,"html","Adding Inline Search function to web page",10,2418,0.999999991488953
"821","No",5,0,100,"unknown",4,"html","Why is Response.BufferOutput = False, not working?",10,1953,0.999999991483483
"914","No",5,0,100,"unknown",4,"html","Limitations of screen readers",10,1862,0.999999991482412
"460","No",5,0,100,"unknown",4,"html","HTML differences between browsers",10,1536,0.999999991478575
"1884","Yes",5,0,100,"unknown",4,"html","REST how to handle query parameters when put to resource?",10,720,0.999999991468962
"558","Yes",5,0,100,"unknown",4,"html","Dynamic Alphabetical Navigation",10,666,0.999999991468326
"1919","Yes",5,0,100,"unknown",4,"html","Problems with mouseout event",10,550,0.999999991466958
"2036","Yes",5,0,100,"unknown",3,"html","iPhone browser tag and optimized web site",10,4808,0.999999991420563
"2683","Yes",5,0,100,"unknown",3,"html","Error Tolerant HTML/XML/SGML parsing in PHP",10,4668,0.999999991418903
"5833","Yes",5,0,100,"unknown",1,"html","Is there an alternative to conditional display:none",10,20132,0.999999991408213
"2324","Yes",5,0,100,"unknown",3,"html","How can I display simple tooltips on icons in html?",10,3764,0.999999991408178
"2369","Yes",5,0,100,"unknown",3,"html","Can I change the appearance of an html image during hover without a second image?",10,3764,0.999999991408178
"4731","No",5,0,100,"unknown",2,"html","Convert a UTF-8 string to/from 7-bit XML in PHP",10,11543,0.999999991403387
"2943","Yes",5,0,100,"unknown",3,"html","Saving HTML tables to a Database",10,3274,0.99999999140236
"4956","Yes",5,0,100,"unknown",3,"html","Fixed TD height property in HTML",10,3182,0.999999991401267
"1870","No",5,0,100,"unknown",3,"html","Are there any tools out there to compare the structure of 2 web pages?",10,2757,0.999999991396216
"1678","No",5,0,100,"unknown",3,"html","Is there any easy way to determine what factors are contributing to the size of an HTML element?",10,2168,0.999999991389211
"885","Yes",5,0,100,"unknown",3,"html","Regex to Parse Hyperlinks and Descriptions",10,2141,0.99999999138889
"1642","Yes",5,0,100,"unknown",3,"html","Restrict selection of SELECT option without disabling the field",10,1980,0.999999991386974
"1573","Yes",5,0,100,"unknown",3,"html","IE6 rending UL's incorrectly",10,1965,0.999999991386796
"1193","Yes",5,0,100,"unknown",3,"html","How to determine if an html tag splits across multiple lines",10,1569,0.999999991382082
"5451","Yes",5,0,100,"unknown",2,"html","positioning three divs with css",10,9632,0.999999991380658
"3752","Yes",5,0,100,"unknown",1,"html","floating divs in list items",10,17781,0.999999991380259
"413","Yes",5,0,100,"unknown",3,"html","What is the best way to upload a file via an HTTP POST with a web form?",10,1396,0.999999991380022
"922","Yes",5,0,100,"unknown",3,"html","Keeping key value pairs together in HTML <select/> with JQuery?",10,1293,0.999999991378795
"6127","Yes",5,0,100,"unknown",2,"html",".html() jQuery method bizzare bug - resolves to empty space locally, but not on production",10,9106,0.999999991374392
"193","Yes",5,0,100,"unknown",3,"html","HTML Comments Markup",10,383,0.999999991367948
"436","Yes",5,0,100,"unknown",3,"html","How do I add a pre tag inside a code tag with jQuery?",10,311,0.99999999136709
"4661","Yes",5,0,100,"unknown",3,"html","Scrape multi-frame website",10,302,0.999999991366982
"1637","Yes",5,0,100,"unknown",3,"html","How do I best populate an HTML table in ASP.NET?",10,83,0.99999999136437
"5236","Yes",5,0,100,"unknown",1,"html","Accessing created DOM elements",10,16437,0.999999991364238
"529","Yes",5,0,100,"unknown",3,"html","Looking for a specific FireFox extension / program for Form posting",10,26,0.999999991363689
"774","No",5,0,100,"unknown",3,"html","HTML using Groovy MarkupBuilder, how do I elegantly mix tags and text?",10,0,0.999999991363379
"2946","Yes",5,0,100,"unknown",3,"html","Firefox, saved passwords, and the change password dialogue",10,0,0.999999991363379
"4490","Yes",5,0,100,"unknown",3,"html","Whats the best way to pass html embed code via rss feed to a rss parser in php?",10,0,0.999999991363379
"4518","No",5,0,100,"unknown",3,"html","How do I cancel a text selection after the initial mousedown event?",10,0,0.999999991363379
"5576","No",5,0,100,"unknown",3,"html","How to disable Javascript in mshtml.HTMLDocument (.NET)",10,0,0.999999991363379
"4650","Yes",5,0,100,"unknown",2,"html","MySpace DOM?",10,8047,0.999999991361762
"6523","Yes",5,0,100,"unknown",0,"html","Ideal user feedback for HTML input",10,23845,0.999999991354991
"3284","No",5,0,100,"unknown",1,"html","producing 2 or more short sounds when a web page loads",10,15588,0.999999991354102
"4818","Yes",5,0,100,"unknown",2,"html","XSS Blacklist - Is anyone aware of a reasonable one?",10,7106,0.999999991350524
"3490","Yes",5,0,100,"unknown",2,"html","How to embed audio/video on HTML page that plays on iPhone browser over GPRS",10,6225,0.999999991339989
"2076","Yes",5,0,100,"unknown",2,"html","Javascript - Applying class to an HTML tag given an attribute/value",10,5512,0.999999991331453
"3073","Yes",5,0,100,"unknown",1,"html","Page can not be displayed",10,13666,0.999999991331111
"6254","Yes",5,0,100,"unknown",1,"html","text that only exists if css is enabled",10,13430,0.999999991328284
"6513","Yes",5,0,100,"unknown",1,"html","Beginner Help for Developing Web Pages for Smart Phones",10,13103,0.999999991324365
"4948","No",5,0,100,"unknown",0,"html","opening links in the same window or in a new (tab)",10,21238,0.999999991323796
