AcceptedAnswerId,AnswerCount,CommentCount,CommunityOwnedDate,CreationDate,_FavoriteCount,_Id,_Important,_LastActivityDate,_LastEditDate,_LastEditorDisplayName,_LastEditorUserId,_OwnerUserId,_PostTypeId,Score,Tags,_Title,ViewCount
No,6,0,,4/15/12,100,174,unknown,2013-11-17T16:04:14.930,2012-01-06T21:25:44.727,Chris Marasti-Georg,707111,96,1,2807.82,c#,How do I print an HTML document from a web service?,10
Yes,4,0,,3/12/10,100,192,unknown,2012-05-04T09:26:51.287,2012-05-04T09:26:51.287,Michael Stum,1039608,91,1,47.97,c#,Floating Point Number parsing: Is there a Catch All algorithm?,10
Yes,10,0,,3/12/10,100,227,unknown,2015-10-26T16:26:16.900,2012-06-28T08:11:23.453,Adam Bellaire,500729,146637,1,98.91,php,What's the best way to generate a tag cloud from an array using h1 through h6 for sizing?,10
Yes,4,0,,3/9/11,100,234,unknown,2014-11-25T20:58:58.163,2014-11-25T20:58:58.163,user1873471,2641576,91,1,527.67,mysql,SQL Server 2005 implementation of MySQL REPLACE INTO?,10
Yes,9,0,,3/9/11,100,260,unknown,2014-01-02T14:33:21.153,2010-11-26T15:10:35.897,eed3si9n,63550,91,1,185.82,c#,Adding scripting functionality to .NET applications,10
Yes,3,0,,8/4/12,100,263,unknown,2012-05-04T09:35:11.603,2012-05-04T09:35:11.603,Bernard,1039608,61,1,86.4,c++,GTK implementation of MessageBox,10
No,5,0,,5/6/11,100,264,unknown,2013-11-25T13:52:15.357,2013-05-30T02:11:52.237,Michał Piaskowski,2405641,104,1,65.32,c++,BerkeleyDB Concurrency,10
Yes,19,0,,12/23/10,1000,289,unknown,2016-02-26T07:38:16.477,2015-03-13T10:50:20.450,kurious,3302711,109,1,11249.75,c#,How do you sort a dictionary by value?,100
Yes,13,0,,11/8/10,1000,328,unknown,2012-07-18T17:21:23.430,2012-05-04T09:39:26.510,,1039608,59,1,377.44,php,PHP Session Security,50
Yes,10,0,,10/21/12,100,330,unknown,2013-03-27T20:24:09.153,2012-09-03T08:53:51.277,Jason Etheridge,204623,63,1,297.92,c++,Should I use nested classes in this case?,10
Yes,17,0,,1/1/11,100,337,unknown,2014-10-08T05:58:37.820,2012-05-04T09:45:16.460,,1039608,111,1,59.8,python,XML Processing in Python,10
Yes,1,0,,1/1/11,100,382,unknown,2015-12-29T06:32:32.877,2015-12-29T06:32:00.833,,3787519,122,1,860.79,java,What is the meaning of the type safety warning in certain Java generics casts?,10
Yes,4,0,,10/10/11,100,469,unknown,2014-12-15T23:58:38.667,2014-12-15T23:58:38.667,Ash,683218,147,1,285.09,python,How can I find the full path to a font from its display name on a Mac?,10
Yes,3,0,,10/10/11,100,482,unknown,2014-07-28T10:04:53.613,2014-07-28T10:04:53.613,Darren Kopp,451518,77,1,503.76,c#,WinForms ComboBox data binding gotcha,10
Yes,3,0,,9/23/10,100,502,unknown,2016-02-29T04:49:18.300,2011-04-08T11:42:03.807,Adam Mitz,63550,147,1,1105.92,python,Get a preview JPEG of a PDF on Windows?,10
Yes,7,0,,7/19/11,100,535,unknown,2014-01-08T06:50:21.857,2012-05-02T17:42:47.627,Robert Gamble,352841,154,1,3742.05,python,Continuous Integration System for a Python Codebase,10
No,1,0,,10/9/09,100,562,unknown,2015-09-25T11:46:57.640,2008-11-08T15:45:43.340,Gulzar,4337,0,1,182.83,c#,How to write to Web.Config in Medium Trust?,10
Yes,17,0,,10/9/09,100,564,unknown,2016-02-28T18:42:46.323,2013-06-10T19:10:33.710,Chris Reath,63550,25,1,5928.02,java,What is the difference between an int and an Integer in Java and C#?,100
Yes,8,0,,10/9/09,100,588,unknown,2015-12-14T20:04:17.647,2015-12-14T20:04:17.647,Gulzar,4595675,172,1,557.64,php,Best way to access Exchange using PHP?,10
Yes,3,0,,12/9/10,100,594,unknown,2012-07-02T15:23:39.457,2012-07-02T15:23:39.457,Mark Harrison,1399491,116,1,15029.4,python,cx_Oracle - what is the best way to iterate over a result set?,10
Yes,5,0,,10/8/12,100,601,unknown,2015-12-17T11:17:22.100,2015-12-17T11:17:22.100,,5550041,0,1,39.2,c#,Robust Random Number Generation,10
No,5,0,,5/2/12,100,609,unknown,2015-02-04T09:58:11.880,2012-05-01T17:33:22.013,ΤΖΩΤΖΙΟΥ,7116,179,1,398.37,c++,Build for Windows NT 4.0 using Visual Studio 2005?,10
Yes,6,0,,3/8/10,100,650,unknown,2013-03-04T21:07:55.040,2012-08-01T21:03:09.177,Robert Höglund,868546,143,1,927.92,c#,Automatically update version number,10
Yes,6,0,,5/28/11,100,657,unknown,2015-04-15T15:22:45.863,2015-04-15T15:22:45.863,Unkwntech,1938889,115,1,14.4,php,Encrypting Passwords,10
Yes,8,0,,9/19/10,100,683,unknown,2011-11-24T09:57:27.813,2008-08-23T16:11:59.307,Gaius,1190,199,1,40.32,python,Using 'in' to match an attribute of Python objects in an array,10
Yes,8,0,,8/31/11,100,696,unknown,2015-06-01T23:31:37.593,2015-06-01T23:31:37.593,Vaibhav,803367,204,1,1385.89,php,Connect PHP to IBM i (AS/400),10
Yes,10,0,,8/31/11,100,709,unknown,2013-02-07T11:12:59.390,2012-05-20T15:50:14.897,Chris Fournier,866022,111,1,187.5,c#,.NET Testing Framework Advice,10
Yes,9,0,,8/31/11,100,742,unknown,2014-10-08T05:53:09.677,2008-09-11T20:14:02.330,,-1,189,1,36.84,python,Class views in Django,10
Yes,12,0,,8/31/11,100,752,unknown,2015-12-31T22:27:02.717,2015-05-23T05:36:00.793,,1034136,192,1,4679.7,c#,Get a new object instance from a Type,100
Yes,6,0,,7/8/11,100,766,unknown,2015-10-10T20:00:39.080,2012-05-31T16:57:58.230,,487855,1384652,1,60.83,python,Python and MySQL,10
Yes,8,0,,1/30/09,100,773,unknown,2015-12-04T08:52:16.873,2014-08-06T21:34:45.097,,2026508,207,1,1334.76,python,How do I use Python's itertools.groupby()?,50
Yes,3,0,,1/8/12,100,832,unknown,2015-04-07T12:52:29.133,2015-04-07T12:52:29.133,user1873471,2771704,224,1,43.78,c#,How do I most elegantly express left join with aggregate SQL as LINQ query,10
Yes,9,0,,11/7/10,100,845,unknown,2015-06-11T01:26:52.950,2015-05-07T10:35:43.650,Peter Hoffmann,2932698,238,1,129.36,html,How can I detect which font was used in a web page?,10
Yes,12,0,,4/29/10,100,879,unknown,2016-02-07T00:44:50.153,2014-05-25T01:52:44.717,Mark Biek,2581872,58,1,115.8,php,Are PHP Variables passed by value or by reference?,50
Yes,29,5,2011-03-09T11:34:12.603,12/31/11,1000,888,unknown,2016-03-02T05:37:24.947,2015-06-04T10:18:02.297,,4248328,131,1,63.92,php,How do you debug PHP scripts?,100
Yes,9,0,,8/12/09,100,904,unknown,2015-08-27T12:40:39.950,2012-04-25T04:33:27.570,Jeff Atwood,214668,34,1,406.7,html,"In HTML, how to word-break on a dash?",10
Yes,7,0,,8/12/09,100,930,unknown,2016-02-07T00:44:17.747,2013-12-07T23:45:54.333,user2509901,0,245,1,241.44,c#,How do I connect to a database and loop over a recordset in C#?,10
Yes,5,0,,11/12/11,100,944,unknown,2013-02-07T13:39:29.647,2013-02-07T13:39:29.647,Ray,395659,233,1,4058.12,c#,Unhandled Exception Handler in .NET 1.1,10
Yes,16,0,,11/12/11,1000,972,unknown,2016-02-22T23:55:52.950,2016-02-22T23:55:52.950,eyelidlessness,971141,145,1,2149.75,python,Adding a Method to an Existing Object Instance,50
Yes,3,0,,1/20/12,100,1010,unknown,2013-02-07T13:19:41.717,2013-02-07T13:19:41.717,,395659,67,1,218.12,c#,"How to get the value of built, encoded ViewState?",10
Yes,2,0,,3/20/09,100,1037,unknown,2013-03-22T09:28:21.557,2013-03-22T09:28:21.557,FryHard,725306,231,1,9825.18,c#,Displaying Flash content in a C# WinForms application,10
Yes,7,0,,7/21/12,100,1040,unknown,2015-11-30T16:13:42.250,2011-08-20T23:34:44.577,Prakash,140328,254,1,259.2,c#,How do I delete a file which is locked by another process in C#?,10
Yes,9,5,,7/21/12,100,1041,unknown,2013-06-19T18:47:47.330,2011-12-02T18:01:27.820,Mark Biek,396458,0,1,116.64,c++,Easy-to-Use Regular Expression Support in C++?,10
Yes,15,5,2008-09-02T03:03:53.863,6/12/12,100,1069,unknown,2015-09-01T17:32:32.120,2012-09-16T10:09:41.643,Alex Miller,1561378,257,1,309.65,c++,Heap corruption under Win32; how to locate?,10
Yes,6,0,,1/15/09,100,1104,unknown,2016-02-07T00:42:29.573,2012-11-11T07:55:08.293,,1561378,236,1,204.18,c++,Ensuring that Exceptions are always Caught,10
Yes,7,0,,1/15/09,100,1171,unknown,2016-01-18T09:08:03.070,2014-12-15T15:03:02.017,,983912,280,1,298.45,python,What is the most efficient graph data structure in Python?,10
Yes,3,0,,6/4/10,100,1189,unknown,2013-04-11T20:17:48.500,2013-04-11T20:17:48.500,,1454806,258,1,436,c#,ViewState invalid only in Safari,10
Yes,4,0,,2/18/10,100,1241,unknown,2015-04-30T10:34:08.673,2015-04-30T10:34:08.673,,1468295,194,1,131.4,c#,Asynchronous multi-direction server-client communication over the same open socket?,10
Yes,10,0,,11/16/11,100,1276,unknown,2016-01-27T23:40:20.297,2016-01-27T23:40:20.297,,3664960,30,1,1263.36,mysql,How big can a MySQL database get before performance starts to degrade,50
Yes,12,0,,11/16/11,100,1304,unknown,2016-02-07T00:35:28.460,2015-04-30T10:33:41.257,Gulzar,1468295,121,1,504.9,c#,How to check for file lock?,100
Yes,6,0,,11/16/11,1000,1408,unknown,2015-06-01T13:43:23.073,2015-05-19T21:25:49.127,Mark Biek,2988337,58,1,819.18,php,Make XAMPP/Apache serve file outside of htdocs,100
Yes,1,0,,8/7/11,100,1417,unknown,2012-11-26T13:28:53.803,2012-11-26T13:28:53.803,user1645055,0,287,1,6076.4,php,How can I get the authenticated user name under Apache using plain HTTP authentication and PHP?,10
Yes,4,0,,6/8/10,100,1453,unknown,2015-12-14T19:57:16.400,2015-12-14T19:57:16.400,Gaius,4595675,58,1,783.5,php,Using object property as default for method property,10
Yes,4,0,,10/17/09,100,1476,unknown,2016-01-08T21:15:07.433,2009-12-13T16:42:52.447,,63550,92,1,961.26,python,How do you express binary literals in Python?,100
Yes,4,0,,8/28/11,100,1505,unknown,2010-08-17T21:24:58.103,2008-08-04T19:07:43.147,Zack,83,83,1,1203.92,html,How do I give my web sites an icon for iPhone?,10
Yes,7,0,,9/29/11,100,1528,unknown,2015-04-30T10:33:31.247,2015-04-30T10:33:31.247,MojoFilter,1468295,93,1,379.62,c#,Hiding inherited members,10
Yes,4,0,,9/29/11,100,1535,unknown,2010-09-13T02:25:02.620,,,0,332,1,155.52,c#,Reducing duplicate error handling code in C#?,10
Yes,20,0,,5/4/12,100,1607,unknown,2014-01-21T06:33:42.887,2008-08-29T19:09:04.530,Flubba,137,72,1,3239.2,mysql,Mechanisms for tracking DB schema changes,10
Yes,4,0,,5/17/11,100,1734,unknown,2013-02-02T14:04:50.913,2013-02-02T14:04:50.913,,1675954,59,1,9.4,python,Any experiences with Protocol Buffers?,10
Yes,4,0,,5/17/11,100,1746,unknown,2013-10-25T13:09:44.307,2013-07-29T22:09:53.520,,8454,137,1,265.68,php,How can I get at the matches when using preg_replace in PHP?,10
Yes,12,0,,5/17/11,100,1760,unknown,2015-04-30T10:32:57.257,2015-04-30T10:32:57.257,Orion Edwards,1468295,234,1,3580.5,c#,.NET Unit Testing packages?,10
Yes,4,0,,5/17/11,100,1762,unknown,2016-02-07T01:00:49.697,2009-01-24T03:19:15.033,Jim Anderson,42439,137,1,272.16,php,Why is my ternary expression not working?,10
Yes,4,0,,5/17/11,100,1829,unknown,2015-03-01T17:34:42.907,2015-03-01T17:34:42.907,Grant,4099593,30,1,86.94,python,How do I make a menu that does not require the user to press [enter] to make a selection?,10
Yes,4,0,,11/17/09,100,1836,unknown,2013-02-06T00:29:06.207,2013-02-06T00:29:06.207,Vaibhav,2548,172,1,2916.35,c#,Wiggling the mouse,10
Yes,4,0,,10/10/11,100,1848,unknown,2013-04-19T14:54:49.080,2013-01-08T12:45:28.863,Pat,1471203,36,1,1956.36,c#,Locating Text within image,10
Yes,18,0,,10/7/12,100,1854,unknown,2015-12-08T19:04:08.743,2015-12-08T19:04:08.743,,116,116,1,11555.28,python,Python: What OS am I running on?,50
Yes,12,0,,10/7/12,100,1898,unknown,2015-07-31T13:26:51.900,2013-01-08T12:44:51.233,,1471203,81,1,94.85,c#,CSV File Imports in .Net,50
Yes,5,0,,10/7/12,100,1936,unknown,2016-03-03T15:18:02.070,2012-11-19T04:20:55.127,Dan,364,364,1,1565.12,c#,How to RedirectToAction in ASP.NET MVC without losing request data,50
Yes,27,0,2008-09-02T06:49:25.930,8/13/11,100,1973,unknown,2014-07-30T03:49:16.297,2014-07-30T03:49:16.297,Jeff Atwood,3818739,116,1,181.72,python,What is the best way to avoid SQL injection attacks?,10
Yes,4,0,,8/16/11,100,1982,unknown,2013-01-06T15:12:59.567,2013-01-06T15:12:59.567,,4411,2090742,1,4511.36,c++,CPU throttling in C++,10
Yes,12,0,,8/16/11,100,1983,unknown,2016-02-19T02:15:31.263,2012-09-09T12:24:21.730,Mark Harrison,515203,116,1,9595.52,python,"Python: what is the difference between (1,2,3) and [1,2,3], and when should I use each?",10
Yes,6,0,,8/16/11,100,1994,unknown,2012-11-02T20:14:00.737,2012-11-02T20:14:00.737,,912495,195,1,1733.32,c#,"Any solution to the ""illegal cross thread call"" ?",10
Yes,5,0,,3/4/09,100,1995,unknown,2015-12-14T09:16:52.833,2015-12-14T09:16:52.833,,3751577,51,1,10.14,c#,Most Efficient Way to Test Object Type,10
No,5,0,,8/18/09,100,2092,unknown,2015-12-15T05:55:55.830,2015-12-15T05:55:55.830,Ned Batchelder,2833965,0,1,799.5,java,"How to get started ""writing"" a code coverage tool?",10
Yes,8,0,,11/16/10,100,2123,unknown,2016-02-07T00:57:46.397,2008-08-05T12:50:41.517,Ronnie,193,193,1,7601.19,html,How do I make a checkbox toggle from clicking on the text label as well?,10
Yes,4,0,,5/27/11,100,2154,unknown,2015-04-30T10:31:30.213,2015-04-30T10:31:30.213,GateKiller,1468295,383,1,849.5,c#,Developing for ASP.NET-MVC without Visual Studio,10
Yes,5,0,,5/27/11,100,2158,unknown,2016-02-13T08:37:17.243,2012-06-26T06:51:58.910,,714968,340,1,80.96,java,Creating a custom button in Java,50
Yes,3,0,,8/23/10,100,2209,unknown,2015-11-24T06:36:46.773,2014-05-14T17:56:39.150,JasonBunting,247702,396,1,297.6,c#,How can I change the background of a masterpage from the code behind of a content page?,10
Yes,12,0,,8/19/11,100,2214,unknown,2015-04-30T10:29:47.187,2015-04-30T10:29:47.187,,1468295,395,1,399.6,c#,What's the best way to implement BDD/TDD in .NET 2.0?,10
Yes,5,0,,1/3/12,100,2250,unknown,2015-04-30T10:31:05.997,2015-04-30T10:30:50.770,,1468295,383,1,1343.86,c#,Datatable vs Dataset,50
Yes,4,0,,11/29/12,100,2256,unknown,2015-02-16T10:13:58.103,2014-08-08T13:52:54.077,Chris Fournier,2159583,379,1,5329.44,c#,Mapping Stream data to data structures in C#,10
No,3,0,,3/17/12,100,2267,unknown,2010-02-17T22:15:28.817,2010-02-17T22:15:28.817,,95135,111,1,347.28,c#,How to filter and combine 2 datasets in C#,10
Yes,3,0,,4/12/10,100,2311,unknown,2015-12-14T19:54:38.007,2015-12-14T19:54:38.007,,4595675,394,1,1580.1,python,File size differences after copying a file to a server vía FTP,10
No,7,0,,8/24/10,100,2384,unknown,2015-08-31T16:08:11.753,2013-10-17T19:43:12.890,,2000557,143,1,110.7,c#,Read binary file into a struct,10
Yes,13,0,,7/4/11,100,2483,unknown,2010-10-28T09:21:44.530,,,0,91,1,878.04,c#,Casting: (NewType) vs. Object as NewType,10
Yes,14,0,,11/10/10,100,2488,unknown,2014-12-15T00:05:21.913,2012-04-01T10:30:48.577,Mark Biek,1219121,58,1,380.5,mysql,Auto Generate Database Diagram MySQL,100
Yes,7,0,,6/24/10,100,2527,unknown,2014-05-29T22:11:10.823,2012-10-08T13:55:26.443,,825024,428,1,62.8,c#,Find node clicked under context menu,10
Yes,29,5,,6/24/10,1000,2530,unknown,2016-02-25T15:27:56.550,2015-01-27T08:02:01.623,Chris,1796061,307,1,4661.54,html,How do you disable browser Autocomplete on web form field / input tag?,100
Yes,11,0,,9/19/12,100,2688,unknown,2014-03-25T01:35:36.000,2014-03-25T01:35:36.000,Andy Lester,1047662,432,1,9245.54,mysql,What do I need to escape when sending a query?,10
Yes,5,0,,9/19/12,100,2711,unknown,2014-12-28T11:44:38.030,2008-09-29T23:41:24.390,Jason Baker,2147,45,1,4468.9,css,"What sites offer free, quality web site design templates?",10
Yes,15,0,,12/24/11,100,2756,unknown,2012-03-22T00:34:54.547,2012-03-22T00:34:54.547,,3,431,1,3024.25,c++,Lightweight IDE for Linux,50
Yes,3,0,,3/23/12,100,2780,unknown,2016-02-07T01:08:27.133,2012-05-04T10:00:52.640,,1039608,45,1,29.05,c#,Converting ARBG to RGB with alpha blending,10
Yes,13,0,,10/15/11,100,2785,unknown,2015-01-29T07:23:54.357,2012-05-04T09:59:02.557,Leon Bambrick,1039608,33,1,23256.24,c#,Setting Objects to Null/Nothing after use in .NET,10
Yes,2,0,,8/7/10,100,2804,unknown,2012-05-04T09:53:41.417,2012-05-04T09:53:41.417,Simon,1039608,328,1,5440.08,c#,How should I translate from screen space coordinates to image space coordinates in a WinForms PictureBox?,10
Yes,40,5,2010-07-22T04:31:27.977,3/3/09,1000,2861,unknown,2016-01-06T15:55:20.063,2015-08-16T18:42:44.460,David,4848447,116,1,70.72,html,Options for HTML scraping?,100
Yes,4,0,,2/9/10,100,2871,unknown,2016-02-07T01:06:58.447,2016-02-07T01:06:32.437,TK,2921691,206,1,21999.56,c#,Reading a C/C++ data structure in C# from a byte array,10
Yes,3,0,,2/9/10,100,2872,unknown,2016-02-07T01:06:01.593,2016-02-07T01:06:01.593,Andreas H.R. Nilsson,2921691,446,1,587.44,c#,"Possible to ""spin off"" several GUI threads? (Not halting the system at Application.Run)",10
No,2,0,,1/17/09,100,2874,unknown,2013-11-01T16:26:52.507,2013-11-01T16:26:52.507,Peter Hession,2416538,441,1,1221.2,c#,How to render a control to look like ComboBox with Visual Styles enabled?,10
Yes,11,0,,1/17/09,100,2900,unknown,2016-02-07T01:04:51.153,2016-01-27T23:42:57.653,,3664960,454,1,77.28,mysql,MySQL/Apache Error in PHP MySQL query,10
No,1,0,,8/30/10,100,2931,unknown,2015-10-27T09:35:19.443,2015-10-27T09:35:19.443,,2553431,360,1,5148.62,java,Getting started with a custom JXTA PeerGroup,10
Yes,8,0,,8/30/10,1000,2933,unknown,2015-05-19T02:25:43.080,2015-05-19T02:25:43.080,lubos hasko,3924118,1384652,1,89.6,python,How can I create a directly-executable cross-platform GUI app using Python?,50
Yes,15,0,,9/11/09,100,2968,unknown,2015-10-27T10:00:40.993,2014-05-13T17:34:45.040,Lane,362,362,1,436,java,What are the different methods to parse strings in Java?,10
Yes,6,0,,9/11/09,100,2987,unknown,2011-05-06T14:44:47.903,,,0,324,1,391.51,c#,Bringing Window to the Front in C# using Win32 API,10
Yes,11,0,,7/16/09,100,3017,unknown,2015-04-28T12:46:34.157,2012-10-04T07:54:36.140,EnderMB,313113,391,1,1018.02,c#,How to generate getters and setters in Visual Studio?,100
Yes,11,0,,11/15/12,100,3049,unknown,2016-01-28T18:00:18.230,,,0,462,1,285.12,java,How do I configure and communicate with a serial port?,10
Yes,8,0,,9/10/11,1000,3061,unknown,2014-10-24T08:23:29.887,2014-10-24T08:23:29.887,,1202512,121,1,212.64,python,Calling a function of a module from a string with the function's name in Python,100
No,87,0,2008-09-03T05:10:42.210,4/10/11,1000,3088,unknown,2012-08-04T01:54:34.093,2011-11-24T11:03:40.387,epatel,447356,92,1,479.7,python,Best ways to teach a beginner to program?,100
Yes,12,0,,4/10/11,100,3150,unknown,2013-02-15T14:17:41.560,2009-10-14T23:53:36.767,Chris Fournier,63550,370,1,260.82,c++,How to set up unit testing for Visual Studio C++,10
Yes,10,0,,4/10/11,100,3213,unknown,2016-02-07T14:11:39.497,2012-01-31T14:33:46.707,Gortok,4714,383,1,1311.28,c#,Convert integers to written numbers,10
Yes,5,0,,10/9/11,100,3224,unknown,2016-02-07T14:04:38.793,2014-12-17T16:11:27.553,Stu Thompson,1987598,486,1,30.98,css,How can I make the browser see CSS and Javascript changes?,10
Yes,5,0,,10/9/11,100,3230,unknown,2015-02-16T10:35:05.477,,,0,370,1,1450.68,c++,How do you pack a visual studio c++ project for release?,10
Yes,3,0,,10/23/12,100,3231,unknown,2014-07-18T17:17:09.057,2008-09-10T18:13:56.557,,-1,381,1,5813.32,c++,C/C++ library for reading MIDI signals from a USB MIDI device,10
Yes,3,0,2008-09-01T08:15:49.223,1/8/12,100,3234,unknown,2008-09-01T08:15:49.223,2008-09-01T08:15:49.240,FryHard,231,231,1,314.25,c#,Displaying ad content from Respose.WriteFile()/ Response.ContentType,10
Yes,2,0,,1/25/10,100,3248,unknown,2013-01-09T05:39:41.133,2013-01-09T05:39:41.133,benefactual,1471203,195,1,9959.04,c#,"""documentation"" conventions and auto checking them",10
Yes,8,0,,1/25/10,100,3284,unknown,2013-04-15T16:10:01.077,2011-01-08T22:20:09.187,lomaxx,63550,493,1,1569.78,c#,Why can't I have abstract static methods in C#?,50
Yes,5,0,,1/27/11,100,3315,unknown,2015-10-22T03:07:56.643,2015-10-22T03:07:56.643,Michael Stum,2197604,503,1,278.88,c#,Can I have a method returning IEnumerator<T> and use it in a foreach loop?,10
Yes,13,0,,1/27/11,100,3319,unknown,2016-02-10T15:56:12.303,2015-12-14T12:04:21.357,,4130289,383,1,5672.55,css,CSS background color in JavaScript,50
Yes,15,0,,1/27/11,1000,3432,unknown,2015-09-29T22:11:25.683,2013-06-25T20:03:23.627,Teifion,426671,1384652,1,77.35,mysql,Multiple Updates in MySQL,100
Yes,5,0,,8/27/09,100,3512,unknown,2012-08-10T06:34:13.830,2012-08-10T06:34:13.830,Avenger546,246246,517,1,2049.5,c#,Searching directories for tons of files?,10
Yes,13,0,,3/17/11,100,3585,unknown,2014-06-23T11:47:55.693,2012-09-01T19:28:22.570,Justin Standard,9314,124,1,4391.64,mysql,Create a new Ruby on Rails application using MySQL instead of SQLite,50
Yes,7,0,,3/17/11,100,3611,unknown,2015-08-31T16:10:37.667,2015-08-31T16:10:37.667,Steve Willard,2185245,402,1,1679.16,php,PHP Error - Uploading a file,10
Yes,15,0,,6/6/12,100,3654,unknown,2010-01-10T12:08:41.387,2008-08-06T17:00:01.077,sparkes,269,269,1,389.98,html,HTML version choice,10
Yes,7,0,,4/11/11,100,3682,unknown,2014-02-27T11:36:00.383,2012-05-21T17:37:00.937,Michiel de Mare,866022,136,1,1748.88,mysql,Distribution of table in time,10
Yes,18,0,,4/11/11,100,3713,unknown,2016-03-05T09:29:55.800,2016-01-20T15:13:59.097,Matt S,3853934,557,1,3815.28,c#,Call ASP.NET Function From Javascript?,100
Yes,3,0,,4/11/11,100,3725,unknown,2016-01-17T12:49:42.543,2013-12-28T06:19:48.327,,2780033,551,1,28.16,c#,How to create a tree-view preferences dialog type of interface in C#?,10
No,3,0,,11/6/12,100,3798,unknown,2013-12-27T09:23:53.427,2011-09-21T00:03:45.813,,436641,547,1,312.96,mysql,Full complete MySQL database replication? Ideas? What do people do?,10
Yes,7,0,,11/6/12,100,3839,unknown,2015-03-15T19:47:56.820,2013-06-25T20:03:51.847,mauriciopastrana,426671,547,1,207.74,mysql,How do I Concatenate entire result sets in MySQL?,10
